sep=;
Time;95th;50th;25th
2017-04-30T21:19:00.000Z;37041444;13632460;8702795
2017-04-30T21:20:00.000Z;36514489;15802550;11731686
2017-04-30T21:21:00.000Z;37041563;15670487;11727497
2017-04-30T21:22:00.000Z;38002104;15466609;10349471
2017-04-30T21:23:00.000Z;40706318;16903263;12622411
2017-04-30T21:24:00.000Z;40095070;16879882;12753382
2017-04-30T21:25:00.000Z;40598056;15737894;11161625
2017-04-30T21:26:00.000Z;41066362;17542403;12903487
2017-04-30T21:27:00.000Z;45310491;18016364;13087345
2017-04-30T21:28:00.000Z;49697656;17646759;11853298
2017-04-30T21:29:00.000Z;48456445;18579499;13262687
2017-04-30T21:30:00.000Z;64340912;19230051;13715696
2017-04-30T21:31:00.000Z;67897914;18740148;12795092
2017-04-30T21:32:00.000Z;69911653;20027425;14098988
2017-04-30T21:33:00.000Z;85453228;20644983;14569179
2017-04-30T21:34:00.000Z;109015999;23469734;14773149
2017-04-30T21:35:00.000Z;115881303;24957167;15939164
2017-04-30T21:36:00.000Z;118641782;25691980;16331391
2017-04-30T21:37:00.000Z;163598934;34229574;17258731
2017-04-30T21:38:00.000Z;198325622;71196134;28022960
2017-04-30T21:39:00.000Z;198431433;65358390;25082234
2017-04-30T21:40:00.000Z;197033476;70897663;26958106
2017-04-30T21:41:00.000Z;208512131;79581264;34191895
2017-04-30T21:42:00.000Z;205005770;64292044;23942609
2017-04-30T21:43:00.000Z;null;null;null
